time,susceptible,exposed,infected,recovered,asymptomatic,new_exposed,new_infected,new_recovered,new_asymptomatic,deaths
84,0.9677193000000002,0.007972901666666664,0.0025849150000000006,0.017713894333333334,0.003911667333333334,0.0010842929999999996,0.00035471233333333335,0.000705268,0.0005320686666666665,9.736333333333334e-05
85,0.9666075999999999,0.008174755333333334,0.0026566416666666667,0.01843950733333333,0.004020222666666666,0.001111802,0.00036398,0.0007256099999999999,0.0005459679999999999,0.00010123966666666668
86,0.9654741,0.008374228333333334,0.002729604666666667,0.019186161333333333,0.004130672333333333,0.0011337033333333332,0.0003736903333333334,0.0007466556666666667,0.0005605356666666668,0.000105224
87,0.9643122999999999,0.008578130333333333,0.0028034649999999993,0.019954209000000004,0.004242468666666666,0.001161895,0.00038319466666666675,0.0007680566666666665,0.0005747926666666666,0.00010931500000000002
88,0.9631222666666664,0.00878728066666667,0.0028778523333333333,0.02074396266666666,0.004355053,0.0011902496666666665,0.00039243966666666676,0.0007897379999999999,0.000588659,0.00011351799999999999
89,0.9619146333333332,0.008991413000000002,0.0029527443333333334,0.021554947666666664,0.004468416666666668,0.0012078763333333335,0.0004014983333333334,0.0008109786666666666,0.0006022473333333332,0.00011783033333333332
90,0.9606820333333335,0.009195330666666668,0.0030290356666666665,0.02238738533333334,0.004583917333333334,0.001232785666666667,0.0004115473333333334,0.0008324573333333333,0.0006173223333333333,0.00012225500000000001
91,0.9594228333333333,0.009400461333333332,0.003106685666666667,0.023241760999999993,0.004701479000000001,0.0012594403333333333,0.00042172333333333336,0.0008543526666666668,0.0006325859999999999,0.00012679599999999998
92,0.9581474666666666,0.00959679466666667,0.0031853786666666667,0.024118326000000006,0.0048206053333333335,0.001275599333333333,0.0004317056666666667,0.0008765813333333333,0.0006475576666666665,0.00013145466666666667
93,0.9568431,0.009797380666666664,0.003264797666666667,0.025017619,0.004940854333333334,0.0013045296666666666,0.0004415786666666667,0.0008992780000000003,0.000662368,0.00013623166666666662
